,Date,Temperature
245,2013/09/03,29.0
246,2013/09/04,29.0
247,2013/09/05,33.0
248,2013/09/06,32.0
249,2013/09/07,30.0
250,2013/09/08,35.0
251,2013/09/09,36.0
252,2013/09/10,31.0
253,2013/09/11,31.0
254,2013/09/12,29.0
255,2013/09/13,32.0
256,2013/09/14,31.0
257,2013/09/15,32.0
258,2013/09/16,30.0
259,2013/09/17,28.0
260,2013/09/18,26.0
261,2013/09/19,30.0
262,2013/09/20,27.0
263,2013/09/21,28.0
264,2013/09/22,27.0
265,2013/09/23,27.0
266,2013/09/24,30.0
267,2013/09/25,29.0
268,2013/09/26,24.0
269,2013/09/27,27.0
270,2013/09/28,27.0
271,2013/09/29,29.0
272,2013/09/30,26.0
273,2013/10/02,26.0
274,2013/10/03,23.0
275,2013/10/04,26.0
276,2013/10/05,25.0
277,2013/10/06,28.0
278,2013/10/07,28.0
279,2013/10/08,29.0
280,2013/10/09,25.0
281,2013/10/10,28.0
282,2013/10/11,28.0
283,2013/10/12,25.0
284,2013/10/13,26.0
285,2013/10/14,27.0
286,2013/10/15,29.0
287,2013/10/16,23.0
288,2013/10/17,25.0
289,2013/10/18,24.0
290,2013/10/19,24.0
291,2013/10/20,26.0
292,2013/10/21,22.0
293,2013/10/22,25.0
294,2013/10/23,26.0
295,2013/10/24,23.0
296,2013/10/25,23.0
297,2013/10/26,22.0
298,2013/10/27,23.0
299,2013/10/28,24.0
300,2013/10/29,25.0
301,2013/10/30,25.0
302,2013/10/31,25.0
303,2013/11/01,25.0
304,2013/11/02,24.0
305,2013/11/03,26.0
306,2013/11/04,21.0
307,2013/11/05,21.0
308,2013/11/06,23.0
309,2013/11/07,22.0
310,2013/11/08,25.0
311,2013/11/09,26.0
312,2013/11/10,27.0
313,2013/11/11,21.0
314,2013/11/12,19.0
315,2013/11/13,19.0
316,2013/11/14,23.0
317,2013/11/15,21.0
318,2013/11/16,21.0
319,2013/11/17,22.0
320,2013/11/18,20.0
321,2013/11/19,19.0
322,2013/11/20,20.0
323,2013/11/21,19.0
324,2013/11/22,18.0
325,2013/11/23,24.0
326,2013/11/24,25.0
327,2013/11/25,18.0
328,2013/11/26,20.0
329,2013/11/27,23.0
330,2013/11/28,15.0
331,2013/11/29,16.0
332,2013/11/30,18.0
333,2013/12/01,20.0
334,2013/12/02,20.0
335,2013/12/03,20.0
336,2013/12/04,21.0
337,2013/12/05,19.0
338,2013/12/06,19.0
339,2013/12/07,18.0
340,2013/12/08,18.0
341,2013/12/09,22.0
342,2013/12/10,16.0
343,2013/12/11,16.0
344,2013/12/12,15.0
345,2013/12/13,19.0
346,2013/12/14,18.0
347,2013/12/15,18.0
348,2013/12/16,20.0
349,2013/12/17,18.0
350,2013/12/18,17.0
351,2013/12/19,15.0
352,2013/12/20,13.0
353,2013/12/21,13.0
354,2013/12/22,15.0
355,2013/12/23,16.0
356,2013/12/24,14.0
357,2013/12/25,17.0
358,2013/12/26,16.0
359,2013/12/27,12.0
360,2013/12/28,14.0
361,2013/12/29,12.0
362,2013/12/30,14.0
363,2013/12/31,17.0
364,2014/01/01,19.0
365,2014/01/02,22.0
366,2014/01/03,23.0
367,2014/01/04,19.0
368,2014/01/05,17.0
369,2014/01/06,18.0
370,2014/01/07,21.0
371,2014/01/08,23.0
372,2014/01/09,15.0
373,2014/01/10,13.0
374,2014/01/11,18.0
375,2014/01/12,20.0
376,2014/01/13,16.0
377,2014/01/14,14.0
378,2014/01/15,14.0
379,2014/01/16,15.0
380,2014/01/17,19.0
381,2014/01/18,16.0
382,2014/01/19,18.0
383,2014/01/20,20.0
384,2014/01/21,14.0
385,2014/01/22,13.0
386,2014/01/23,17.0
387,2014/01/24,19.0
388,2014/01/25,23.0
389,2014/01/26,18.0
390,2014/01/27,19.0
391,2014/01/28,21.0
392,2014/01/29,21.0
393,2014/01/30,21.0
394,2014/01/31,23.0
395,2014/02/01,23.0
396,2014/02/02,22.0
397,2014/02/03,23.0
398,2014/02/04,15.0
399,2014/02/05,16.0
400,2014/02/06,23.0
401,2014/02/07,19.0
402,2014/02/08,16.0
403,2014/02/09,15.0
404,2014/02/10,12.0
405,2014/02/11,12.0
406,2014/02/12,13.0
407,2014/02/13,16.0
408,2014/02/14,14.0
409,2014/02/15,13.0
410,2014/02/16,17.0
411,2014/02/17,22.0
412,2014/02/18,20.0
413,2014/02/19,15.0
414,2014/02/20,14.0
415,2014/02/21,14.0
416,2014/02/22,18.0
417,2014/02/23,19.0
418,2014/02/24,22.0
419,2014/02/25,22.0
420,2014/02/26,23.0
421,2014/02/27,18.0
422,2014/02/28,20.0
423,2014/03/01,22.0
424,2014/03/02,16.0
425,2014/03/03,16.0
426,2014/03/04,22.0
427,2014/03/05,16.0
428,2014/03/06,14.0
429,2014/03/07,15.0
430,2014/03/08,21.0
431,2014/03/09,15.0
432,2014/03/10,14.0
433,2014/03/11,18.0
434,2014/03/12,21.0
435,2014/03/13,17.0
436,2014/03/14,15.0
437,2014/03/15,18.0
438,2014/03/16,18.0
439,2014/03/17,23.0
440,2014/03/18,24.0
441,2014/03/19,25.0
442,2014/03/20,20.0
443,2014/03/21,13.0
444,2014/03/22,17.0
445,2014/03/23,20.0
446,2014/03/24,21.0
447,2014/03/25,24.0
448,2014/03/26,26.0
449,2014/03/27,26.0
450,2014/03/28,24.0
451,2014/03/29,28.0
452,2014/03/30,22.0
453,2014/03/31,21.0
454,2014/04/01,25.0
455,2014/04/02,21.0
456,2014/04/03,21.0
457,2014/04/04,20.0
458,2014/04/05,22.0
459,2014/04/06,19.0
460,2014/04/07,19.0
461,2014/04/08,23.0
462,2014/04/09,24.0
463,2014/04/10,22.0
464,2014/04/11,23.0
465,2014/04/12,27.0
466,2014/04/13,28.0
467,2014/04/14,21.0
468,2014/04/15,23.0
469,2014/04/16,26.0
470,2014/04/17,28.0
471,2014/04/18,28.0
472,2014/04/19,26.0
473,2014/04/20,24.0
474,2014/04/21,22.0
475,2014/04/22,25.0
476,2014/04/23,21.0
477,2014/04/24,24.0
478,2014/04/25,25.0
479,2014/04/26,26.0
480,2014/04/27,27.0
481,2014/04/28,23.0
482,2014/04/29,21.0
483,2014/04/30,21.0
484,2014/05/01,21.0
